club,nation,league,name,rating,position,price,card_types
Real Madrid,Brazil,LaLiga Santander,Casemiro,90,CDM,159K,if gold rare
Lazio,Serbia,Serie A TIM,Sergej Milinkovic-Savic,90,CM,181.4K,headliners_2 gold rare
Fiorentina,France,Serie A TIM,Ribéry,90,LW,1.02M,sbc_flashback gold rare
FC Bayern,Germany,Bundesliga,Jérôme Boateng,90,CB,255.65K,f_moment gold rare
Manchester City,England,Premier League,Raheem Sterling,90,LW,496K,if gold rare
Arsenal,England,Premier League,Bukayo Saka,90,RM,2.47M,future_stars gold rare
FUT 21 ICONS,Portugal,Icons,Eusébio,89,CF,5.47M,icon gold rare
FUT 21 ICONS,Russia,Icons,Lev Yashin,89,GK,324K,icon gold rare
FUT 21 ICONS,France,Icons,Laurent Blanc,89,CB,890K,icon gold rare
FUT 21 ICONS,Brazil,Icons,Ronaldinho,89,CAM,1.56M,icon gold rare
FUT 21 ICONS,Netherlands,Icons,Marco van Basten,89,ST,240K,icon gold rare
FUT 21 ICONS,Romania,Icons,Gheorghe Hagi,89,CAM,346K,icon gold rare
FUT 21 ICONS,Denmark,Icons,Michael Laudrup,89,LW,147K,icon gold rare
FUT 21 ICONS,Netherlands,Icons,Edwin van der Sar,89,GK,511K,icon gold rare
FUT 21 ICONS,Italy,Icons,Fabio Cannavaro,89,CB,445K,icon gold rare
FUT 21 ICONS,Spain,Icons,Fernando Hierro Ruiz,89,CB,215K,icon gold rare
FUT 21 ICONS,Wales,Icons,Ryan Giggs,89,LM,144K,icon gold rare
FUT 21 ICONS,England,Icons,Gary Lineker,89,ST,285K,icon gold rare
FUT 21 ICONS,England,Icons,Bobby Moore,89,CB,179K,icon gold rare
FUT 21 ICONS,England,Icons,Paul Scholes,89,CM,193K,icon gold rare
FUT 21 ICONS,England,Icons,Alan Shearer,89,ST,164K,icon gold rare
FUT 21 ICONS,Czech Republic,Icons,Pavel Nedvěd,89,LM,417K,icon gold rare
FUT 21 ICONS,Germany,Icons,Miroslav Klose,89,ST,161K,icon gold rare
FUT 21 ICONS,Brazil,Icons,Sócrates,89,CAM,566K,icon gold rare
FUT 21 ICONS,Netherlands,Icons,Johan Cruyff,89,CF,3.52M,icon gold rare
FUT 21 ICONS,France,Icons,David Trezeguet,89,ST,185K,icon gold rare
FUT 21 ICONS,England,Icons,Steven Gerrard,89,CM,620K,icon gold rare
FUT 21 ICONS,England,Icons,Sol Campbell,89,CB,845K,icon gold rare
