club,nation,league,name,rating,position,price,card_types
Northampton,England,EFL League One (ENG 3),Joe Nuttall,61,ST,200,bronze non-rare
HJK Helsinki,Finland,Finnliiga (FIN 1),Tim Väyrynen,61,ST,1K,bronze rare
Östersunds FK,Uganda,Allsvenskan (SWE 1),Ronald Mukiibi,61,RWB,200,bronze rare
Shandong Luneng,China PR,Chinese FA Super L. (CHN 1),Rongze Han,61,GK,200,bronze non-rare
Tianjin TEDA,China PR,Chinese FA Super L. (CHN 1),Yang Liu,61,CB,400,bronze non-rare
Hebei CFFC,China PR,Chinese FA Super L. (CHN 1),Senwen Luo,61,CM,450,bronze rare
Wuhan Zall,China PR,Chinese FA Super L. (CHN 1),Chenglin Zhang,61,CB,1.4K,bronze non-rare
Dalian Pro,China PR,Chinese FA Super L. (CHN 1),Pengfei Shan,61,RB,200,bronze non-rare
Shanghai Shenhua,China PR,Chinese FA Super L. (CHN 1),Aidi Fulangxisi,61,CB,600,bronze non-rare
Wuhan Zall,China PR,Chinese FA Super L. (CHN 1),Tong Zhou,61,LM,450,bronze non-rare
Tranmere Rovers,England,EFL League Two (ENG 4),Otis Khan,61,CAM,200,bronze non-rare
BK Häcken,Norway,Allsvenskan (SWE 1),Jonathan Rasheed,61,GK,1.7K,bronze non-rare
Suwon Samsung,Korea Republic,K League 1 (KOR 1),Eui Kwon Han,61,ST,1K,bronze rare
Gangwon FC,Korea Republic,K League 1 (KOR 1),Kim Young Bin,61,CB,200,bronze non-rare
Tianjin TEDA,China PR,Chinese FA Super L. (CHN 1),Jia Du,61,GK,200,bronze non-rare
Crawley Town,Northern Ireland,EFL League Two (ENG 4),Josh Doherty,61,LB,200,bronze non-rare
Admira Wacker,Austria,Ö Bundesliga (AUT 1),Marcus Maier,61,CM,200,bronze non-rare
Colchester,England,EFL League Two (ENG 4),Omar Sowunmi,61,CB,200,bronze rare
Cambridge Utd,England,EFL League Two (ENG 4),Harrison Dunk,61,LB,300,bronze rare
FC Lugano,Switzerland,Raiffeisen Super L. (SUI 1),Francisco Rodríguez,61,CAM,0,bronze rare
Exeter City,England,EFL League Two (ENG 4),Alex Fisher,61,ST,200,bronze non-rare
Bradford City,England,EFL League Two (ENG 4),Callum Cooke,61,CM,200,bronze non-rare
1. FC Magdeburg,Germany,3. Liga (GER 3),Daniel Steininger,61,RM,200,bronze non-rare
Lincoln City,Scotland,EFL League One (ENG 3),James Jones,61,CM,200,bronze non-rare
Exeter City,France,EFL League Two (ENG 4),Nigel Atangana,61,CM,200,bronze rare
Piast Gliwice,Poland,Polski Ekstraklasa (POL 1),Tomasz Mokwa,61,RB,200,bronze non-rare
Morecambe,England,EFL League Two (ENG 4),Adam Phillips,61,CM,200,bronze non-rare
Dalian Pro,China PR,Chinese FA Super L. (CHN 1),Jinxian Wang,61,RM,200,bronze non-rare
Shenzhen Kaisa,China PR,Chinese FA Super L. (CHN 1),Yang Xu,61,LM,350,bronze non-rare
Shanghai Shenhua,China PR,Chinese FA Super L. (CHN 1),Jinhao Bi,61,CB,700,bronze non-rare
Al Hazem,Saudi Arabia,MBS Pro League (SAU 1),Faress Al Aiyaf,61,CM,7.4K,bronze non-rare
Abha Club,Saudi Arabia,MBS Pro League (SAU 1),Ahmad Al Habib,61,CB,200,bronze non-rare
USL Dunkerque,France,Ligue 2 (FRA 2),Ibrahim Cissé,61,CB,300,bronze rare
Al Ittihad,Saudi Arabia,MBS Pro League (SAU 1),Abdullah Al Ammar,61,LB,8K,bronze non-rare
Henan Jianye,China PR,Chinese FA Super L. (CHN 1),Abduwal Ablet,61,LWB,200,bronze non-rare
Al Taawoun,Saudi Arabia,MBS Pro League (SAU 1),Sultan Ahmed Mandash,61,RM,3.3K,bronze non-rare
Wisła Płock,Slovakia,Polski Ekstraklasa (POL 1),Filip Lesniak,61,CDM,200,bronze non-rare
Argentinos Jrs.,Argentina,CONMEBOL Sudamericana,Matías Romero,61,CM,200,sudamericana bronze rare
Chongqing SWM,China PR,Chinese FA Super L. (CHN 1),Weijie Sui,61,GK,200,bronze non-rare
Bristol Rovers,Scotland,EFL League One (ENG 3),Michael Kelly,61,LB,700,bronze non-rare
FC Seoul,Korea Republic,K League 1 (KOR 1),Won Gun Kim,61,CB,1.5K,bronze non-rare
Northampton,England,EFL League One (ENG 3),Benny Ashley-Seal,61,ST,200,bronze non-rare
V. Guimarães,England,Liga NOS (POR 1),Easah Suliman,61,CB,200,bronze non-rare
D.C. United,United States,Major League Soccer (MLS),Earl Edwards Jr.,61,GK,500,bronze rare
Mjällby AIF ,FYR Macedonia,Allsvenskan (SWE 1),Besard Sabovic,61,CM,200,bronze non-rare
Carlisle United,England,EFL League Two (ENG 4),Callum Guy,61,CM,200,bronze non-rare
Forest Green,England,EFL League Two (ENG 4),Chris Stokes,61,CB,200,bronze non-rare
Atlanta United,United States,Major League Soccer (MLS),Brendan Moore,61,GK,700,bronze non-rare
Shandong Luneng,China PR,Chinese FA Super L. (CHN 1),Tianyu Qi,61,RB,200,bronze non-rare
Forest Green,Republic of Ireland,EFL League Two (ENG 4),Dominic Bernard,61,RWB,200,bronze non-rare
Brisbane Roar,England,A-League (AUS 1),Macaulay Gillesphey,61,CB,200,bronze non-rare
Oxford United,England,EFL League One (ENG 3),Dan Agyei,61,ST,200,bronze non-rare
Newport County,England,EFL League Two (ENG 4),Kyle Howkins,61,CB,1.5K,bronze rare
TSV Hartberg,Austria,Ö Bundesliga (AUT 1),Raphael Sallinger,61,GK,200,bronze rare
Deportivo Cali,Colombia,CONMEBOL Sudamericana,Richard Renteria,61,CB,2K,sudamericana bronze rare
Bristol Rovers,Wales,EFL League One (ENG 3),Cian Harries,61,CB,200,bronze non-rare
Cork City,Republic of Ireland,SSE Airtricity League (IRL 1),Kevin O'Connor,61,LB,200,bronze non-rare
Al Fateh,Saudi Arabia,MBS Pro League (SAU 1),Ali Lajami,61,CB,0,bronze rare
Ettifaq FC,Saudi Arabia,MBS Pro League (SAU 1),Majed Al Najrani,61,RM,250,bronze non-rare
Kayserispor,Turkey,Süper Lig (TUR 1),Yasir Subaşı,61,LB,250,bronze non-rare
Morecambe,Scotland,EFL League Two (ENG 4),Sam Lavelle,61,CB,200,bronze non-rare
Walsall,England,EFL League Two (ENG 4),Elijah Adebayo,61,ST,700,bronze rare
TSV Hartberg,Austria,Ö Bundesliga (AUT 1),Julius Ertlthaler,61,CAM,200,bronze non-rare
Peterborough,Hungary,EFL League One (ENG 3),Dániel Gyollai,61,GK,200,bronze rare
Würzburg,Netherlands,Bundesliga 2 (GER 2),Eric Verstappen,61,GK,200,bronze rare
Swindon Town,England,EFL League One (ENG 3),Ellis Iandolo,61,LB,200,bronze non-rare
Bristol City,England,EFL Championship (ENG 2),Jojo Wollacott,61,GK,200,bronze non-rare
Ross County,England,Scottish Premiership (SPFL),Regan Charles-Cook,61,CAM,250,bronze rare
Lincoln City,Republic of Ireland,EFL League One (ENG 3),Zachary Elbouzedi,61,RM,350,bronze rare
Wigan Athletic,Wales,EFL League One (ENG 3),Owen Evans,61,GK,200,bronze non-rare
Coventry City,England,EFL Championship (ENG 2),Josh Pask,61,CB,200,bronze non-rare
Shrewsbury,Montenegro,EFL League One (ENG 3),Matija Šarkic,61,GK,200,bronze non-rare
Kilmarnock,England,Scottish Premiership (SPFL),Jake Eastwood,61,GK,200,bronze non-rare
Kilmarnock,Scotland,Scottish Premiership (SPFL),Calum Waters,61,LB,200,bronze non-rare
Rodez AF,Cameroon,Ligue 2 (FRA 2),Alexis Alégué,61,RM,200,bronze non-rare
Mansfield Town,England,EFL League Two (ENG 4),Kellan Gordon,61,RWB,250,bronze rare
Nagoya Grampus,Japan,Meiji Yasuda J1 (JPN 1),Yohei Takeda,61,GK,200,bronze rare
Western United,Japan,A-League (AUS 1),Tomoki Imai,61,CB,200,bronze non-rare
Ettifaq FC,Saudi Arabia,MBS Pro League (SAU 1),Fahad Ghazi,61,LB,200,bronze non-rare
Vegalta Sendai,Japan,Meiji Yasuda J1 (JPN 1),Shingo Hyodo,61,CM,2K,bronze non-rare
Bristol Rovers,England,EFL League One (ENG 3),Josh Grant,61,CDM,200,bronze non-rare
Deportivo Pasto,Colombia,CONMEBOL Sudamericana,Víctor Cabezas,61,GK,1K,sudamericana bronze rare
Yeni Malatyaspor,Turkey,Süper Lig (TUR 1),Emre Selen,61,GK,0,bronze non-rare
AFC Wimbledon,England,EFL League One (ENG 3),Paul Kalambayi,61,CB,200,bronze non-rare
Sandefjord,Norway,Eliteserien (NOR 1),Erik Næsbak Brenden,61,LM,200,bronze non-rare
Lincoln City,Wales,EFL League One (ENG 3),Aaron Lewis,61,RB,200,bronze non-rare
Bristol City,England,EFL Championship (ENG 2),Tyreeq Bakinson,61,CM,600,bronze non-rare
Damac FC,Saudi Arabia,MBS Pro League (SAU 1),Sami Al Najai,61,CDM,0,bronze non-rare
SK Rapid Wien,Hungary,Ö Bundesliga (AUT 1),Tamás Szántó,61,CM,200,bronze non-rare
FK Haugesund,Norway,Eliteserien (NOR 1),Kevin Martin Krygård,61,CM,200,bronze non-rare
Brentford,Denmark,EFL Championship (ENG 2),Mads Bech Sørensen,61,CB,500,bronze non-rare
Greuther Fürth,Germany,Bundesliga 2 (GER 2),Marius Funk,61,GK,200,bronze non-rare
Lechia Gdańsk,Poland,Polski Ekstraklasa (POL 1),Jakub Arak,61,ST,200,bronze non-rare
Al Hazem,Saudi Arabia,MBS Pro League (SAU 1),Hassan Jamal Al Habib,61,CM,10K,bronze rare
Chongqing SWM,China PR,Chinese FA Super L. (CHN 1),Yeerzati Yeerjieti,61,GK,200,bronze non-rare
Atl. Nacional,Colombia,CONMEBOL Sudamericana,Aldair Quintana,61,GK,200,sudamericana bronze rare
Huracán,Argentina,CONMEBOL Sudamericana,Nicolás Cordero,61,ST,200,sudamericana bronze rare
Indep. Medellín,Colombia,CONMEBOL Libertadores,Maurício Cortés,61,RM,1.1K,libertadores_b bronze rare
Brøndby IF,Denmark,3F Superliga (DEN 1),Joel Kabongo,61,CB,250,bronze rare
Falkenbergs FF,Sweden,Allsvenskan (SWE 1),Edi Sylisufaj,61,ST,200,bronze non-rare
Junior,Colombia,CONMEBOL Libertadores,Luis Sandoval,61,ST,1K,libertadores_b bronze rare
Dynamo Dresden,Germany,3. Liga (GER 3),Julius Kade,61,CAM,200,bronze non-rare
Hertha Berlin,Germany,Bundesliga,Florian Baak,61,CB,4.6K,bronze non-rare
Al Ittihad,Saudi Arabia,MBS Pro League (SAU 1),Khaled Al Samiri,61,CM,950,bronze non-rare
PGE Stal Mielec,Poland,Polski Ekstraklasa (POL 1),Paweł Tomczyk,61,ST,1K,bronze rare
SKN St. Pölten,Austria,Ö Bundesliga (AUT 1),Ahmet Muhamedbegovic,61,CB,200,bronze non-rare
VfL Wolfsburg,Germany,Bundesliga,Davide Itter,61,RB,900,bronze non-rare
Pohang Steelers,Korea Republic,K League 1 (KOR 1),Seung Mo Lee,61,CDM,200,bronze non-rare
Servette FC,France,Raiffeisen Super L. (SUI 1),Yoan Severin,61,LB,950,bronze non-rare
NY Red Bulls,United States,Major League Soccer (MLS),Kendall McIntosh,61,GK,650,bronze non-rare
Dijon FCO,Romania,Ligue 1 Conforama,Alex Dobre,61,LM,450,bronze non-rare
Vegalta Sendai,Japan,Meiji Yasuda J1 (JPN 1),Shogo Nakahara,61,CM,200,bronze non-rare
QPR,Northern Ireland,EFL Championship (ENG 2),Charlie Owens,61,CM,400,bronze non-rare
FCSM,France,Ligue 2 (FRA 2),Bryan Lasme,61,ST,200,bronze rare
Damac FC,Saudi Arabia,MBS Pro League (SAU 1),Abdullah Al Joui,61,LM,0,bronze non-rare
Shimizu S-Pulse,Japan,Meiji Yasuda J1 (JPN 1),Yohei Nishibe,61,GK,1.4K,bronze rare
Aarhus AGF,Denmark,3F Superliga (DEN 1),Sebastian Hausner,61,CB,300,bronze non-rare
Vålerenga Fotball,Norway,Eliteserien (NOR 1),Felix Horn Myhre,61,CDM,200,bronze non-rare
Qingdao Huanghai,China PR,Chinese FA Super L. (CHN 1),Jianrong Zhu,61,ST,4K,bronze non-rare
Shrewsbury,United States,EFL League One (ENG 3),Marlon Fossey,61,RB,900,bronze rare
Kasimpaşa,Turkey,Süper Lig (TUR 1),Onur Ural,61,RB,7.2K,bronze rare
Rodez AF,France,Ligue 2 (FRA 2),Malaly Dembélé,61,ST,200,bronze non-rare
SV Sandhausen,Germany,Bundesliga 2 (GER 2),Florian Hansch,61,RB,0,bronze rare
Ross County,Scotland,Scottish Premiership (SPFL),Ross Laidlaw,61,GK,200,bronze rare
FC Nantes,Togo,Ligue 1 Conforama,Josué Homawoo,61,CB,4K,bronze non-rare
Clermont,France,Ligue 2 (FRA 2),Josué Albert,61,CB,200,bronze non-rare
Lyngby BK,Denmark,3F Superliga (DEN 1),André Riel,61,ST,200,bronze non-rare
Viktoria Köln,Germany,3. Liga (GER 3),Moritz Fritz,61,CB,200,bronze non-rare
Lincoln City,England,EFL League One (ENG 3),Max Melbourne,61,LB,200,bronze non-rare
Erzgebirge Aue,Germany,Bundesliga 2 (GER 2),Sascha Härtel,61,LB,200,bronze rare
Millonarios,Colombia,CONMEBOL Sudamericana,Omar Bertel,61,LB,300,sudamericana bronze rare
Audax Italiano,Chile,CONMEBOL Sudamericana,Nicolás Fernández,61,RM,200,sudamericana bronze rare
Wisła Płock,Poland,Polski Ekstraklasa (POL 1),Maciej Ambrosiewicz,61,CM,200,bronze non-rare
Atlético de San Luis,Mexico,LIGA BBVA MX (MEX 1),Pablo López,61,CM,300,bronze non-rare
V. Guimarães,Germany,Liga NOS (POR 1),Elias Abouchabaka,61,CAM,1.4K,bronze rare
Al Taawoun,Saudi Arabia,MBS Pro League (SAU 1),Sumayhan Al Nabit,61,LM,200,bronze non-rare
Excel Mouscron,Belgium,1A Pro League (BEL 1),Babacar Dione,61,LW,200,bronze non-rare
Jahn Regensburg,Germany,Bundesliga 2 (GER 2),Alexander Weidinger,61,GK,200,bronze rare
Brøndby IF,Norway,3F Superliga (DEN 1),Tobias Børkeeiet,61,CDM,200,bronze non-rare
Bolton,England,EFL League Two (ENG 4),Harry Brockbank,61,RB,200,bronze non-rare
Crotone,Italy,Serie A TIM,Niccolò Zanellato,61,CM,950,bronze rare
Östersunds FK,Sweden,Allsvenskan (SWE 1),Nebiyou Perry,61,LM,200,bronze non-rare
Audax Italiano,Chile,CONMEBOL Sudamericana,Bryan Figueroa,61,RM,200,sudamericana bronze rare
Birmingham City,England,EFL Championship (ENG 2),Charlie Lakin,61,CM,3.3K,bronze non-rare
Scunthorpe Utd,Scotland,EFL League Two (ENG 4),Lewis Spence,61,CM,200,bronze non-rare
Beijing Guoan,China PR,Chinese FA Super L. (CHN 1),Quanbo Guo,61,GK,250,bronze non-rare
Strasbourg,France,Ligue 1 Conforama,Ismael Aaneba,61,RB,500,bronze non-rare
Trabzonspor,Turkey,Süper Lig (TUR 1),Ahmet Canbaz,61,CAM,1.5K,bronze rare
RC Celta,Spain,LaLiga Santander,Diego Varela Pampín,61,LB,550,bronze non-rare
Al Nassr,Saudi Arabia,MBS Pro League (SAU 1),Abdulelah Al Amri,61,CB,600,bronze non-rare
Leeds United,England,Premier League,Jordan Stevens,61,RM,0,bronze non-rare
Wuhan Zall,China PR,Chinese FA Super L. (CHN 1),Jinghang Hu,61,ST,1.2K,bronze non-rare
Shanghai SIPG,China PR,Chinese FA Super L. (CHN 1),Zhen Wei,61,CB,650,bronze non-rare
Guangzhou,China PR,Chinese FA Super L. (CHN 1),Xiuwei Zhang,61,CM,700,bronze rare
Jiangsu Suning,China PR,Chinese FA Super L. (CHN 1),Cheng Zhang,61,RB,850,bronze non-rare
Jiangsu Suning,China PR,Chinese FA Super L. (CHN 1),Yinong Tian,61,CM,400,bronze rare
SM Caen,France,Ligue 2 (FRA 2),Azzeddine Toufiqui,61,CM,200,bronze non-rare
Bohemian FC,Republic of Ireland,SSE Airtricity League (IRL 1),Andrew Lyons,61,RB,200,bronze non-rare
M'gladbach,Australia,Bundesliga,Jacob Italiano,61,LM,1.2K,bronze non-rare
Blackburn Rovers,England,EFL Championship (ENG 2),Daniel Butterworth,61,ST,200,bronze non-rare
AIK,Serbia,Allsvenskan (SWE 1),Budimir Janošević,61,GK,200,bronze non-rare
Örebro SK,Syria,Allsvenskan (SWE 1),Simon Amin,61,CM,900,bronze non-rare
Sligo Rovers,England,SSE Airtricity League (IRL 1),Junior Ogedi-Uzokwe,61,LM,200,bronze rare
Union Berlin,Germany,Bundesliga,Lars Dietz,61,CB,5.8K,bronze non-rare
CD Tenerife,Spain,LaLiga SmartBank (ESP 2),Borja Llarena Barroso,61,ST,0,bronze rare
Ettifaq FC,Saudi Arabia,MBS Pro League (SAU 1),Ibrahim Mahnashi,61,CDM,450,bronze non-rare
Philadelphia,United States,Major League Soccer (MLS),Matt Real,61,LB,200,bronze non-rare
St. Pats,Republic of Ireland,SSE Airtricity League (IRL 1),Jamie Lennon,61,CDM,200,bronze non-rare
SJ Earthquakes,United States,Major League Soccer (MLS),Eric Calvillo,61,CM,200,bronze rare
Odds BK,Norway,Eliteserien (NOR 1),Bilal Njie,61,RW,7.9K,bronze rare
Torino,Italy,Serie A TIM,Vincenzo Millico,61,LW,1.7K,bronze non-rare
Shonan Bellmare,Japan,Meiji Yasuda J1 (JPN 1),Daiki Tomii,61,GK,200,bronze non-rare
Shonan Bellmare,Japan,Meiji Yasuda J1 (JPN 1),Daiki Kaneko,61,CM,9.5K,bronze non-rare
NY Red Bulls,United States,Major League Soccer (MLS),Ben Mines,61,RM,1.9K,bronze non-rare
Chicago Fire,United States,Major League Soccer (MLS),Wyatt Omsberg,61,CB,300,bronze non-rare
1. FC Heidenheim,Germany,Bundesliga 2 (GER 2),Kevin Sessa,61,CM,400,bronze rare
Chicago Fire,New Zealand,Major League Soccer (MLS),Elliot Collier,61,RM,200,bronze rare
FC St. Gallen,Switzerland,Raiffeisen Super L. (SUI 1),Lorenzo Gonzalez,61,ST,200,bronze non-rare
Daegu FC,Korea Republic,K League 1 (KOR 1),Jae Hyeok Lim,61,ST,200,bronze non-rare
Viktoria Köln,Germany,3. Liga (GER 3),Dominik Lanius,61,CB,3.5K,bronze rare
Deportivo Cali,Colombia,CONMEBOL Sudamericana,Andrés Balanta,61,CDM,200,sudamericana bronze rare
Waasl. Beveren,Costa Rica,1A Pro League (BEL 1),Alexis Gamboa,61,CB,200,bronze non-rare
Nancy,France,Ligue 2 (FRA 2),Aurélien Nguiamba,61,CDM,200,bronze non-rare
RKC Waalwijk,Netherlands,Eredivisie (NED 1),Lars Nieuwpoort,61,CB,550,bronze non-rare
Blackpool,St. Kitts and Nevis,EFL League One (ENG 3),Michael Nottingham,61,CB,950,bronze non-rare
Lechia Gdańsk,Poland,Polski Ekstraklasa (POL 1),Rafał Kobryń,61,RB,1.4K,bronze non-rare
Odense BK,Denmark,3F Superliga (DEN 1),Mads Frøkjær-Jensen,61,LM,200,bronze non-rare
Stade de Reims,France,Ligue 1 Conforama,Virgile Pinson,61,ST,0,bronze non-rare
Braunschweig,Germany,Bundesliga 2 (GER 2),Yari Otto,61,CAM,200,bronze rare
MSV Duisburg,Germany,3. Liga (GER 3),Sinan Karweina,61,ST,200,bronze non-rare
F.C. Tokyo,Japan,Meiji Yasuda J1 (JPN 1),Taichi Hara,61,ST,200,bronze rare
Crawley Town,England,EFL League Two (ENG 4),Ashley Nathaniel-George,61,LM,5K,bronze non-rare
TSV Hartberg,Austria,Ö Bundesliga (AUT 1),Thomas Rotter,61,CB,200,bronze non-rare
TSV Hartberg,Austria,Ö Bundesliga (AUT 1),Jürgen Heil,61,CM,200,bronze non-rare
Montpellier,Russia,Ligue 1 Conforama,Amir Adouyev,61,CAM,10K,bronze rare
Sint-Truiden,Belgium,1A Pro League (BEL 1),Hamza Masoudi,61,CAM,1K,bronze rare
Real Salt Lake,United States,Major League Soccer (MLS),Andrew Putna,61,GK,200,bronze non-rare
LASK,Austria,Ö Bundesliga (AUT 1),Tobias Lawal,61,GK,200,bronze rare
Al Hazem,Saudi Arabia,MBS Pro League (SAU 1),Saif Al Qeshtah,61,CB,2K,bronze non-rare
Pachuca,Mexico,LIGA BBVA MX (MEX 1),Miguel Tapias,61,CB,400,bronze non-rare
Impact Montréal,Canada,Major League Soccer (MLS),Clément Bayiha,61,RW,200,bronze non-rare
VfB Stuttgart,Germany,Bundesliga,Maxime Awoudja,61,CB,3K,bronze non-rare
Aberdeen,Scotland,Scottish Premiership (SPFL),Bruce Anderson,61,ST,8.5K,bronze non-rare
Kaiserslautern,Germany,3. Liga (GER 3),Lukas Gottwalt,61,CB,200,bronze non-rare
Colorado Rapids,United States,Major League Soccer (MLS),Cole Bassett,61,CM,200,bronze non-rare
Greuther Fürth,Germany,Bundesliga 2 (GER 2),Maximilian Bauer,61,CB,200,bronze non-rare
Çaykur Rizespor,Tunisia,Süper Lig (TUR 1),Montassar Talbi,61,CB,350,bronze rare
Al Ahli,Saudi Arabia,MBS Pro League (SAU 1),Yazeed Al Bakr,61,RB,200,bronze rare
Al Ahli,Saudi Arabia,MBS Pro League (SAU 1),Abdulbasit Hindi,61,CB,200,bronze non-rare
Al Ahli,Saudi Arabia,MBS Pro League (SAU 1),Abdullah Hassoun,61,RB,200,bronze non-rare
UD Almería,Spain,LaLiga SmartBank (ESP 2),Rubén Enri Garcia,61,ST,0,bronze non-rare
Niort,France,Ligue 2 (FRA 2),Antoine Baroan,61,LM,200,bronze non-rare
Amiens SC,France,Ligue 2 (FRA 2),Valentin Gendrey,61,RB,200,bronze non-rare
Troyes,France,Ligue 2 (FRA 2),Benrandy Abdallah,61,RB,200,bronze non-rare
Leeds United,England,Premier League,Joseph Gelhardt,61,ST,1.2K,bronze non-rare
EA Guingamp,France,Ligue 2 (FRA 2),Matthias Phaeton,61,ST,200,bronze non-rare
BSC Young Boys,Switzerland,Raiffeisen Super L. (SUI 1),Léo Seydoux,61,LB,1.1K,bronze non-rare
Mazatlán FC,Mexico,LIGA BBVA MX (MEX 1),César Huerta,61,ST,5.5K,bronze non-rare
Havre AC,France,Ligue 2 (FRA 2),Himad Abdelli,61,CAM,200,bronze non-rare
Viking FK,Norway,Eliteserien (NOR 1),Even Østensen,61,LW,200,bronze non-rare
Falkenbergs FF,Sweden,Allsvenskan (SWE 1),Tobias Englund,61,LWB,200,bronze non-rare
Falkenbergs FF,Sweden,Allsvenskan (SWE 1),John Björkengren,61,CM,1.9K,bronze non-rare
Montpellier,Portugal,Ligue 1 Conforama,Matis Carvalho,61,GK,300,bronze non-rare
Oita Trinita,Japan,Meiji Yasuda J1 (JPN 1),Ryosuke Tone,61,CB,200,bronze non-rare
Sagan Tosu,Uruguay,Meiji Yasuda J1 (JPN 1),Renzo López,61,ST,750,bronze rare
Mjøndalen IF,Norway,Eliteserien (NOR 1),Vetle Winger Dragsnes,61,LB,200,bronze non-rare
Mjällby AIF ,Sweden,Allsvenskan (SWE 1),Jesper Löfgren,61,CB,1K,bronze non-rare
Chicago Fire,United States,Major League Soccer (MLS),Jeremiah Gutjahr,61,LB,850,bronze non-rare
Kaiserslautern,Germany,3. Liga (GER 3),Antonio Jonjic,61,RM,7.4K,bronze non-rare
Leeds United,Northern Ireland,Premier League,Alfie McCalmont,61,CDM,8K,bronze non-rare
Orlando City,United States,Major League Soccer (MLS),Benji Michel,61,ST,200,bronze rare
SJ Earthquakes,United States,Major League Soccer (MLS),Siad Haji,61,CAM,200,bronze non-rare
IFK Norrköping,Honduras,Allsvenskan (SWE 1),Kevin Álvarez,61,RB,200,bronze rare
LA Galaxy,Argentina,Major League Soccer (MLS),Emil Cuello,61,CAM,5K,bronze non-rare
Stabæk Fotball,Norway,Eliteserien (NOR 1),Jørgen Olsen Øveraas,61,RB,950,bronze non-rare
FC Voluntari,Romania,Liga I (ROM 1),Cosmin Achim,61,CB,200,bronze non-rare
FC Argeș,Romania,Liga I (ROM 1),Gabriel Deac,61,RW,200,bronze non-rare
FC Hermannstadt,Romania,Liga I (ROM 1),Adrian Bălan,61,ST,9.9K,bronze non-rare
CFR 1907 Cluj,Romania,Liga I (ROM 1),Claudiu Petrila,61,LW,6K,bronze rare
FCSB,Romania,Liga I (ROM 1),Ștefan Târnovanu,61,GK,200,bronze rare
FC Viitorul,Romania,Liga I (ROM 1),Carlo Casap,61,CM,400,bronze rare
Wolfsberger AC,Austria,Ö Bundesliga (AUT 1),Matthäus Taferner,61,CAM,200,bronze non-rare
Jeonbuk Hyundai,Korea Republic,K League 1 (KOR 1),Soo Bin Lee,61,CDM,200,bronze non-rare
Karlsruher SC,Germany,Bundesliga 2 (GER 2),Dominik Kother,61,LW,900,bronze non-rare
Hull City,England,EFL League One (ENG 3),Jacob Greaves,61,CB,200,bronze non-rare
Peterborough,England,EFL League One (ENG 3),Frazer Blake-Tracy,61,LB,200,bronze non-rare
Blackpool,England,EFL League One (ENG 3),Marvin Ekpiteta,61,CB,350,bronze non-rare
SV Meppen,Germany,3. Liga (GER 3),Yannick Osée,61,CB,400,bronze rare
FC Voluntari,Romania,Liga I (ROM 1),Cristian Costin,61,RW,200,bronze non-rare
Chindia,Romania,Liga I (ROM 1),Denis Dumitrașcu,61,LB,200,bronze non-rare
FC Dinamo 1948,Romania,Liga I (ROM 1),Mircea Mihaiu,61,RM,200,bronze non-rare
Cercle Brugge,France,1A Pro League (BEL 1),Serge-Philippe Raux Yao,61,CB,350,bronze rare
Haching,Germany,3. Liga (GER 3),Paul Grauschopf,61,LB,200,bronze non-rare
Central Córdoba,Argentina,Primera División (ARG 1),Matías Pato,61,ST,700,bronze rare
WSG Tirol,Austria,Ö Bundesliga (AUT 1),Florian Toplitsch,61,CAM,200,bronze non-rare
Zagłębie Lubin,Slovenia,Polski Ekstraklasa (POL 1),Rok Sirk,61,ST,200,bronze non-rare
SVWW,Croatia,3. Liga (GER 3),Jakov Medic,61,CB,200,bronze non-rare
Greuther Fürth,Germany,Bundesliga 2 (GER 2),Alexander Lungwitz,61,LB,0,bronze non-rare
Górnik Zabrze,Serbia,Polski Ekstraklasa (POL 1),Filip Bainović,61,CDM,200,bronze non-rare
Viktoria Köln,Germany,3. Liga (GER 3),Kai Klefisch,61,CDM,200,bronze non-rare
FC St. Pauli,Uruguay,Bundesliga 2 (GER 2),Rodrigo Zalazar,61,CAM,200,bronze non-rare
SVWW,Germany,3. Liga (GER 3),Michael Guthörl,61,RB,200,bronze non-rare
LASK,Austria,Ö Bundesliga (AUT 1),Thomas Sabitzer,61,RW,200,bronze non-rare
Univ. Craiova,Romania,Liga I (ROM 1),Andrei Marinescu,61,GK,200,bronze non-rare
Havre AC,France,Ligue 2 (FRA 2),Ateef Konaté,61,CAM,0,bronze rare
AFC Wimbledon,England,EFL League One (ENG 3),Paul Osew,61,LWB,200,bronze rare
Fenerbahçe,Turkey,Süper Lig (TUR 1),Murat Saglam,61,RB,6.1K,bronze rare
Helsingborgs IF,Sweden,Allsvenskan (SWE 1),Armin Gigovic,61,CM,4.5K,bronze non-rare
FC Utrecht,Netherlands,Eredivisie (NED 1),Justin Lonwijk,61,CAM,900,bronze rare
Hannover 96,Germany,Bundesliga 2 (GER 2),Niklas Tarnat,61,CDM,200,bronze non-rare
Lech Poznań,Poland,Polski Ekstraklasa (POL 1),Michał Skóraś,61,RM,200,bronze non-rare
LOSC,France,Ligue 1 Conforama,Lucas Chevalier,61,GK,350,bronze non-rare
FC Nordsjælland,Ghana,3F Superliga (DEN 1),Abu Francis,61,CM,200,bronze non-rare
FC Dinamo 1948,Romania,Liga I (ROM 1),Robert Moldoveanu,61,ST,200,bronze non-rare
TSV Hartberg,Austria,Ö Bundesliga (AUT 1),lukas Gabbichler,61,RM,3.5K,bronze non-rare
